Description,Name
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 2 years,title_iv.no_pell.transf_still_enrolled_2yr_by.2yrs
Percent of students who never received a Pell Grant at the institution and with status unknown within 2 years at original institution,title_iv.no_pell.unknown_by.2yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years,title_iv.no_pell.transf_unknown_4yr_by.2yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years,title_iv.no_pell.transf_unknown_2yr_by.2yrs
Percent of students who received a federal loan at the institution and who died within 2 years at original institution,title_iv.loan_recip.died_by.2yrs
Percent of students who received a federal loan at the institution and who completed in 2 years at original institution,title_iv.loan_recip.completed_by.2yrs
Percent of students who received a federel loan at the institution and who transferred to a 4-year institution and completed within 2 years,title_iv.loan_recip.transf_completed_4yr_by.2yrs
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 2 years,title_iv.loan_recip.transf_completed_2yr_by.2yrs
Percent of students who received a federal loan at the institution and withdrew from original institution within 2 years,title_iv.loan_recip.withdrawn_by.2yrs
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 2 years,title_iv.loan_recip.transf_withdrawn_4yr_by.2yrs
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 2 years,title_iv.loan_recip.transf_withdrawn_2yr_by.2yrs
Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 2 years,title_iv.loan_recip.still_enrolled_by.2yrs
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 2 years,title_iv.loan_recip.transf_still_enrolled_4yr_by.2yrs
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 2 years,title_iv.loan_recip.transf_still_enrolled_2yr_by.2yrs
Percent of students who received a federal loan at the institution and with status unknown within 2 years at original institution,title_iv.loan_recip.unknown_by.2yrs
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years,title_iv.loan_recip.transf_unknown_4yr_by.2yrs
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years,title_iv.loan_recip.transf_unknown_2yr_by.2yrs
Percent of students who never received a federal loan at the institution and who died within 2 years at original institution,title_iv.no_loan.died_by.2yrs
Percent of students who never received a federal loan at the institution and who completed in 2 years at original institution,title_iv.no_loan.completed_by.2yrs
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 2 years,title_iv.no_loan.transf_completed_4yr_by.2yrs
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 2 years,title_iv.no_loan.transf_completed_2yr_by.2yrs
Percent of students who never received a federal loan at the institution and withdrew from original institution within 2 years,title_iv.no_loan.withdrawn_by.2yrs
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 2 years,title_iv.no_loan.transf_withdrawn_4yr_by.2yrs
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 2 years,title_iv.no_loan.transf_withdrawn_2yr_by.2yrs
Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 2 years,title_iv.no_loan.still_enrolled_by.2yrs
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 2 years,title_iv.no_loan.transf_still_enrolled_4yr_by.2yrs
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 2 years,title_iv.no_loan.transf_still_enrolled_2yr_by.2yrs
Percent of students who never received a federal loan at the institution and with status unknown within 2 years at original institution,title_iv.no_loan.unknown_by.2yrs
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 2 years,title_iv.no_loan.transf_unknown_4yr_by.2yrs
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 2 years,title_iv.no_loan.transf_unknown_2yr_by.2yrs
Percent of first-generation students who died within 2 years at original institution,title_iv.first_gen.died_by.2yrs
Percent of first-generation students who completed within 2 years at original institution,title_iv.first_gen.completed_by.2yrs
Percent of first-generation students who transferred to a 4-year institution and completed within 2 years,title_iv.first_gen.transf_completed_4yr_by.2yrs
Percent of first-generation students who transferred to a 2-year institution and completed within 2 years,title_iv.first_gen.transf_completed_2yr_by.2yrs
Percent of first-generation students withdrawn from original institution within 2 years,title_iv.first_gen.withdrawn_by.2yrs
Percent of first-generation students who transferred to a 4-year institution and withdrew within 2 years,title_iv.first_gen.transf_withdrawn_4yr_by.2yrs
Percent of first-generation students who transferred to a 2-year institution and withdrew within 2 years,title_iv.first_gen.transf_withdrawn_2yr_by.2yrs
Percent of first-generation students who were still enrolled at original institution within 2 years,title_iv.first_gen.still_enrolled_by.2yrs
Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 2 years,title_iv.first_gen.transf_still_enrolled_4yr_by.2yrs
Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 2 years,title_iv.first_gen.transf_still_enrolled_2yr_by.2yrs
Percent of first-generation students with status unknown within 2 years at original institution,title_iv.first_gen.unknown_by.2yrs
Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 2 years,title_iv.first_gen.transf_unknown_4yr_by.2yrs
Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 2 years,title_iv.first_gen.transf_unknown_2yr_by.2yrs
Percent of not-first-generation students who died within 2 years at original institution,title_iv.not_first_gen.died_by.2yrs
Percent of not-first-generation students who completed within 2 years at original institution,title_iv.not_first_gen.completed_by.2yrs
Percent of not-first-generation students who transferred to a 4-year institution and completed within 2 years,title_iv.not_first_gen.transf_completed_4yr_by.2yrs
Percent of not-first-generation students who transferred to a 2-year institution and completed within 2 years,title_iv.not_first_gen.transf_completed_2yr_by.2yrs
Percent of not-first-generation students withdrawn from original institution within 2 years,title_iv.not_first_gen.withdrawn_by.2yrs
Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 2 years,title_iv.not_first_gen.transf_withdrawn_4yr_by.2yrs
Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 2 years,title_iv.not_first_gen.transf_withdrawn_2yr_by.2yrs
Percent of not-first-generation students who were still enrolled at original institution within 2 years,title_iv.not_first_gen.still_enrolled_by.2yrs
Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 2 years,title_iv.not_first_gen.transf_still_enrolled_4yr_by.2yrs
Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 2 years,title_iv.not_first_gen.transf_still_enrolled_2yr_by.2yrs
Percent of not-first-generation students with status unknown within 2 years at original institution,title_iv.not_first_gen.unknown_by.2yrs
Percent of not-first-generation students who transferred to a 4-year institution and whose status is unknown within 2 years,title_iv.not_first_gen.transf_unknown_4yr_by.2yrs
Percent of not-first-generation students who transferred to a 2-year institution and whose status is unknown within 2 years,title_iv.not_first_gen.transf_unknown_2yr_by.2yrs
Percent died within 3 years at original institution,title_iv.died_by.3yrs
Percent completed within 3 years at original institution,title_iv.completed_by.3yrs
Percent who transferred to a 4-year institution and completed within 3 years,title_iv.transf_completed_4yr_by.3yrs
Percent who transferred to a 2-year institution and completed within 3 years,title_iv.transf_completed_2yr_by.3yrs
Percent withdrawn from original institution within 3 years,title_iv.withdrawn_by.3yrs
Percent who transferred to a 4-year institution and withdrew within 3 years,title_iv.transf_withdrawn_4yr_by.3yrs
Percent who transferred to a 2-year institution and withdrew within 3 years,title_iv.transf_withdrawn_2yr_by.3yrs
Percent still enrolled at original institution within 3 years,title_iv.still_enrolled_by.3yrs
Percent who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.transf_still_enrolled_4yr_by.3yrs
Percent who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.transf_still_enrolled_2yr_by.3yrs
Percent with status unknown within 3 years at original institution,title_iv.unknown_by.3yrs
Percent who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.transf_unknown_4yr_by.3yrs
Percent who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.transf_unknown_2yr_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who died within 3 years at original institution",title_iv.low_inc.died_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who completed within 3 years at original institution",title_iv.low_inc.completed_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years",title_iv.low_inc.transf_completed_4yr_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years",title_iv.low_inc.transf_completed_2yr_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students withdrawn from original institution within 3 years",title_iv.low_inc.withdrawn_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years",title_iv.low_inc.transf_withdrawn_4yr_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years",title_iv.low_inc.transf_withdrawn_2yr_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 3 years",title_iv.low_inc.still_enrolled_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years",title_iv.low_inc.transf_still_enrolled_4yr_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years",title_iv.low_inc.transf_still_enrolled_2yr_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 3 years at original institution",title_iv.low_inc.unknown_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years",title_iv.low_inc.transf_unknown_4yr_by.3yrs
"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years",title_iv.low_inc.transf_unknown_2yr_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 3 years at original institution",title_iv.mid_inc.died_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 3 years at original institution",title_iv.mid_inc.completed_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years",title_iv.mid_inc.transf_completed_4yr_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years",title_iv.mid_inc.transf_completed_2yr_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 3 years",title_iv.mid_inc.withdrawn_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years",title_iv.mid_inc.transf_withdrawn_4yr_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years",title_iv.mid_inc.transf_withdrawn_2yr_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 3 years",title_iv.mid_inc.still_enrolled_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years",title_iv.mid_inc.transf_still_enrolled_4yr_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years",title_iv.mid_inc.transf_still_enrolled_2yr_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 3 years at original institution",title_iv.mid_inc.unknown_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years",title_iv.mid_inc.transf_unknown_4yr_by.3yrs
"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years",title_iv.mid_inc.transf_unknown_2yr_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who died within 3 years at original institution",title_iv.high_inc.died_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who completed within 3 years at original institution",title_iv.high_inc.completed_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years",title_iv.high_inc.transf_completed_4yr_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years",title_iv.high_inc.transf_completed_2yr_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students withdrawn from original institution within 3 years",title_iv.high_inc.withdrawn_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 3 years",title_iv.high_inc.transf_withdrawn_4yr_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 3 years",title_iv.high_inc.transf_withdrawn_2yr_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who were still enrolled at original institution within 3 years",title_iv.high_inc.still_enrolled_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years",title_iv.high_inc.transf_still_enrolled_4yr_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 3 years",title_iv.high_inc.transf_still_enrolled_2yr_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students with status unknown within 3 years at original institution",title_iv.high_inc.unknown_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 3 years",title_iv.high_inc.transf_unknown_4yr_by.3yrs
"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years",title_iv.high_inc.transf_unknown_2yr_by.3yrs
Percent of dependent students who died within 3 years at original institution,title_iv.depend.died_by.3yrs
Percent of dependent students who completed within 3 years at original institution,title_iv.depend.completed_by.3yrs
Percent of dependent students who transferred to a 4-year institution and completed within 3 years,title_iv.depend.transf_completed_4yr_by.3yrs
Percent of dependent students who transferred to a 2-year institution and completed within 3 years,title_iv.depend.transf_completed_2yr_by.3yrs
Percent of dependent students withdrawn from original institution within 3 years,title_iv.depend.withdrawn_by.3yrs
Percent of dependent students who transferred to a 4-year institution and withdrew within 3 years,title_iv.depend.transf_withdrawn_4yr_by.3yrs
Percent of dependent students who transferred to a 2-year institution and withdrew within 3 years,title_iv.depend.transf_withdrawn_2yr_by.3yrs
Percent of dependent students who were still enrolled at original institution within 3 years,title_iv.depend.still_enrolled_by.3yrs
Percent of dependent students who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.depend.transf_still_enrolled_4yr_by.3yrs
Percent of dependent students who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.depend.transf_still_enrolled_2yr_by.3yrs
Percent of dependent students with status unknown within 3 years at original institution,title_iv.depend.unknown_by.3yrs
Percent of dependent students who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.depend.transf_unknown_4yr_by.3yrs
Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.depend.transf_unknown_2yr_by.3yrs
Percent of independent students who died within 3 years at original institution,title_iv.independ.died_by.3yrs
Percent of independent students who completed within 3 years at original institution,title_iv.independ.completed_by.3yrs
Percent of independent students who transferred to a 4-year institution and completed within 3 years,title_iv.independ.transf_completed_4yr_by.3yrs
Percent of independent students who transferred to a 2-year institution and completed within 3 years,title_iv.independ.transf_completed_2yr_by.3yrs
Percent of independent students withdrawn from original institution within 3 years,title_iv.independ.withdrawn_by.3yrs
Percent of independent students who transferred to a 4-year institution and withdrew within 3 years,title_iv.independ.transf_withdrawn_4yr_by.3yrs
Percent of independent students who transferred to a 2-year institution and withdrew within 3 years,title_iv.independ.transf_withdrawn_2yr_by.3yrs
Percent of independent students who were still enrolled at original institution within 3 years,title_iv.independ.still_enrolled_by.3yrs
Percent of independent students who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.independ.transf_still_enrolled_4yr_by.3yrs
Percent of independent students who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.independ.transf_still_enrolled_2yr_by.3yrs
Percent of independent students with status unknown within 3 years at original institution,title_iv.independ.unknown_by.3yrs
Percent of independent students who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.independ.transf_unknown_4yr_by.3yrs
Percent of independent students who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.independ.transf_unknown_2yr_by.3yrs
Percent of female students who died within 3 years at original institution,title_iv.female.died_by.3yrs
Percent of female students who completed within 3 years at original institution,title_iv.female.completed_by.3yrs
Percent of female students who transferred to a 4-year institution and completed within 3 years,title_iv.female.transf_completed_4yr_by.3yrs
Percent of female students who transferred to a 2-year institution and completed within 3 years,title_iv.female.transf_completed_2yr_by.3yrs
Percent of female students withdrawn from original institution within 3 years,title_iv.female.withdrawn_by.3yrs
Percent of female students who transferred to a 4-year institution and withdrew within 3 years,title_iv.female.transf_withdrawn_4yr_by.3yrs
Percent of female students who transferred to a 2-year institution and withdrew within 3 years,title_iv.female.transf_withdrawn_2yr_by.3yrs
Percent of female students who were still enrolled at original institution within 3 years,title_iv.female.still_enrolled_by.3yrs
Percent of female students who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.female.transf_still_enrolled_4yr_by.3yrs
Percent of female students who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.female.transf_still_enrolled_2yr_by.3yrs
Percent of female students with status unknown within 3 years at original institution,title_iv.female.unknown_by.3yrs
Percent of female students who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.female.transf_unknown_4yr_by.3yrs
Percent of female students who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.female.transf_unknown_2yr_by.3yrs
Percent of male students who died within 3 years at original institution,title_iv.male.died_by.3yrs
Percent of male students who completed within 3 years at original institution,title_iv.male.completed_by.3yrs
Percent of male students who transferred to a 4-year institution and completed within 3 years,title_iv.male.transf_completed_4yr_by.3yrs
Percent of male students who transferred to a 2-year institution and completed within 3 years,title_iv.male.transf_completed_2yr_by.3yrs
Percent of male students withdrawn from original institution within 3 years,title_iv.male.withdrawn_by.3yrs
Percent of male students who transferred to a 4-year institution and withdrew within 3 years,title_iv.male.transf_withdrawn_4yr_by.3yrs
Percent of male students who transferred to a 2-year institution and withdrew within 3 years,title_iv.male.transf_withdrawn_2yr_by.3yrs
Percent of male students who were still enrolled at original institution within 3 years,title_iv.male.still_enrolled_by.3yrs
Percent of male students who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.male.transf_still_enrolled_4yr_by.3yrs
Percent of male students who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.male.transf_still_enrolled_2yr_by.3yrs
Percent of male students with status unknown within 3 years at original institution,title_iv.male.unknown_by.3yrs
Percent of male students who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.male.transf_unknown_4yr_by.3yrs
Percent of male students who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.male.transf_unknown_2yr_by.3yrs
Percent of students who received a Pell Grant at the institution and who died within 3 years at original institution,title_iv.pell_recip.died_by.3yrs
Percent of students who received a Pell Grant at the institution and who completed in 3 years at original institution,title_iv.pell_recip.completed_by.3yrs
Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 3 years,title_iv.pell_recip.transf_completed_4yr_by.3yrs
Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 3 years,title_iv.pell_recip.transf_completed_2yr_by.3yrs
Percent of students who received a Pell Grant at the institution and withdrew from original institution within 3 years,title_iv.pell_recip.withdrawn_by.3yrs
Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 3 years,title_iv.pell_recip.transf_withdrawn_4yr_by.3yrs
Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 3 years,title_iv.pell_recip.transf_withdrawn_2yr_by.3yrs
Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 3 years,title_iv.pell_recip.still_enrolled_by.3yrs
Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.pell_recip.transf_still_enrolled_4yr_by.3yrs
Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.pell_recip.transf_still_enrolled_2yr_by.3yrs
Percent of students who received a Pell Grant at the institution and with status unknown within 3 years at original institution,title_iv.pell_recip.unknown_by.3yrs
Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.pell_recip.transf_unknown_4yr_by.3yrs
Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.pell_recip.transf_unknown_2yr_by.3yrs
Percent of students who never received a Pell Grant at the institution and who died within 3 years at original institution,title_iv.no_pell.died_by.3yrs
Percent of students who never received a Pell Grant at the institution and who completed in 3 years at original institution,title_iv.no_pell.completed_by.3yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 3 years,title_iv.no_pell.transf_completed_4yr_by.3yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 3 years,title_iv.no_pell.transf_completed_2yr_by.3yrs
Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 3 years,title_iv.no_pell.withdrawn_by.3yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and withdrew within 3 years,title_iv.no_pell.transf_withdrawn_4yr_by.3yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 3 years,title_iv.no_pell.transf_withdrawn_2yr_by.3yrs
Percent of students who never received a Pell Grant at the institution and who were still enrolled at original institution within 3 years,title_iv.no_pell.still_enrolled_by.3yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.no_pell.transf_still_enrolled_4yr_by.3yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.no_pell.transf_still_enrolled_2yr_by.3yrs
Percent of students who never received a Pell Grant at the institution and with status unknown within 3 years at original institution,title_iv.no_pell.unknown_by.3yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.no_pell.transf_unknown_4yr_by.3yrs
Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.no_pell.transf_unknown_2yr_by.3yrs
Percent of students who received a federal loan at the institution and who died within 3 years at original institution,title_iv.loan_recip.died_by.3yrs
Percent of students who received a federal loan at the institution and who completed in 3 years at original institution,title_iv.loan_recip.completed_by.3yrs
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and completed within 3 years,title_iv.loan_recip.transf_completed_4yr_by.3yrs
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 3 years,title_iv.loan_recip.transf_completed_2yr_by.3yrs
Percent of students who received a federal loan at the institution and withdrew from original institution within 3 years,title_iv.loan_recip.withdrawn_by.3yrs
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 3 years,title_iv.loan_recip.transf_withdrawn_4yr_by.3yrs
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 3 years,title_iv.loan_recip.transf_withdrawn_2yr_by.3yrs
Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 3 years,title_iv.loan_recip.still_enrolled_by.3yrs
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.loan_recip.transf_still_enrolled_4yr_by.3yrs
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.loan_recip.transf_still_enrolled_2yr_by.3yrs
Percent of students who received a federal loan at the institution and with status unknown within 3 years at original institution,title_iv.loan_recip.unknown_by.3yrs
Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.loan_recip.transf_unknown_4yr_by.3yrs
Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.loan_recip.transf_unknown_2yr_by.3yrs
Percent of students who never received a federal loan at the institution and who died within 3 years at original institution,title_iv.no_loan.died_by.3yrs
Percent of students who never received a federal loan at the institution and who completed in 3 years at original institution,title_iv.no_loan.completed_by.3yrs
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and completed within 3 years,title_iv.no_loan.transf_completed_4yr_by.3yrs
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and completed within 3 years,title_iv.no_loan.transf_completed_2yr_by.3yrs
Percent of students who never received a federal loan at the institution and withdrew from original institution within 3 years,title_iv.no_loan.withdrawn_by.3yrs
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 3 years,title_iv.no_loan.transf_withdrawn_4yr_by.3yrs
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 3 years,title_iv.no_loan.transf_withdrawn_2yr_by.3yrs
Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 3 years,title_iv.no_loan.still_enrolled_by.3yrs
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.no_loan.transf_still_enrolled_4yr_by.3yrs
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.no_loan.transf_still_enrolled_2yr_by.3yrs
Percent of students who never received a federal loan at the institution and with status unknown within 3 years at original institution,title_iv.no_loan.unknown_by.3yrs
Percent of students who never received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.no_loan.transf_unknown_4yr_by.3yrs
Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.no_loan.transf_unknown_2yr_by.3yrs
Percent of first-generation students who died within 3 years at original institution,title_iv.first_gen.died_by.3yrs
Percent of first-generation students who completed within 3 years at original institution,title_iv.first_gen.completed_by.3yrs
Percent of first-generation students who transferred to a 4-year institution and completed within 3 years,title_iv.first_gen.transf_completed_4yr_by.3yrs
Percent of first-generation students who transferred to a 2-year institution and completed within 3 years,title_iv.first_gen.transf_completed_2yr_by.3yrs
Percent of first-generation students withdrawn from original institution within 3 years,title_iv.first_gen.withdrawn_by.3yrs
Percent of first-generation students who transferred to a 4-year institution and withdrew within 3 years,title_iv.first_gen.transf_withdrawn_4yr_by.3yrs
Percent of first-generation students who transferred to a 2-year institution and withdrew within 3 years,title_iv.first_gen.transf_withdrawn_2yr_by.3yrs
Percent of first-generation students who were still enrolled at original institution within 3 years,title_iv.first_gen.still_enrolled_by.3yrs
Percent of first-generation students who transferred to a 4-year institution and were still enrolled within 3 years,title_iv.first_gen.transf_still_enrolled_4yr_by.3yrs
Percent of first-generation students who transferred to a 2-year institution and were still enrolled within 3 years,title_iv.first_gen.transf_still_enrolled_2yr_by.3yrs
Percent of first-generation students with status unknown within 3 years at original institution,title_iv.first_gen.unknown_by.3yrs
Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 3 years,title_iv.first_gen.transf_unknown_4yr_by.3yrs
Percent of first-generation students who transferred to a 2-year institution and whose status is unknown within 3 years,title_iv.first_gen.transf_unknown_2yr_by.3yrs
Percent of not-first-generation students who died within 3 years at original institution,title_iv.not_first_gen.died_by.3yrs
Percent of not-first-generation students who completed within 3 years at original institution,title_iv.not_first_gen.completed_by.3yrs
Percent of not-first-generation students who transferred to a 4-year institution and completed within 3 years,title_iv.not_first_gen.transf_completed_4yr_by.3yrs
Percent of not-first-generation students who transferred to a 2-year institution and completed within 3 years,title_iv.not_first_gen.transf_completed_2yr_by.3yrs
Percent of not-first-generation students withdrawn from original institution within 3 years,title_iv.not_first_gen.withdrawn_by.3yrs
Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 3 years,title_iv.not_first_gen.transf_withdrawn_4yr_by.3yrs
Percent of not-first-generation students who transferred to a 2-year institution and withdrew within 3 years,title_iv.not_first_gen.transf_withdrawn_2yr_by.3yrs
